Id,SalePrice
1461,121095.86862282222137
1462,159165.88284580761683
1463,188664.17828440936864
1464,195324.27632444081246
1465,189565.73368495344766
1466,171571.94402145009371
1467,175032.05389627907425
1468,166640.02682742002071
1469,191214.74804929454695
1470,121335.53715282429766
1471,195046.25419014075305
1472,98934.556197593308752
1473,97493.548911851685261
1474,144489.14209215753363
1475,120409.28444855011185
1476,347321.48094256955665
1477,253362.02972394472454
1478,292736.92765833600424
1479,291100.43287940049777
1480,452367.04681476892438
1481,323380.47675957786851
1482,209742.6107165562571
1483,180463.74882760475157
1484,166130.59676013188437
1485,179362.39313002029667
1486,191842.81511333707022
1487,318824.54851089895237
1488,232839.4403315319214
1489,200438.7820086563006
1490,240204.3446156779828
1491,191671.16931638470851
1492,92498.912060223345179
1493,170835.64284810968093
1494,294223.2622425078298
1495,284480.48790745204315
1496,240534.35247004064149
1497,189810.45926334938849
1498,171472.24757157481508
1499,163019.42839938180987
1500,156860.24862785337609
1501,171511.50926361451275
1502,150546.70641054774751
1503,275191.23084846854908
1504,233038.51541937675211
1505,219094.27498547462164
1506,195218.26534300111234
1507,250838.92202869712492
1508,201311.89063915910083
1509,165714.2976071528974
1510,141959.17698943498544
1511,156597.79166180401808
1512,170362.65228281656164
1513,147199.07059435814153
1514,151129.08942933063372
1515,190335.90812165063107
1516,143277.15518597161281
1517,162893.46234354926855
1518,125567.01423959432577
1519,214998.29137267661281
1520,130130.88198521634331
1521,137119.60313330596546
1522,163345.47065128330723
1523,117995.089606476482
1524,133374.44838587599224
1525,122746.48671562960953
1526,110784.82162564566534
1527,106375.12724309702753
1528,139240.89824304686044
1529,155080.17707557434915
1530,169908.57496050588088
1531,100233.57590051216539
1532,83371.390428628146765
1533,151031.59188326264848
1534,132465.86138812123681
1535,144795.31633505967329
1536,104730.64413900108775
1537,50385.083809072559234
1538,155137.16650079903775
1539,194214.12717733895988
1540,90643.914679928187979
1541,144427.70566681295168
1542,141756.68484004860511
1543,188448.97157655766932
1544,83639.005074617321952
1545,110364.70842002944846
1546,125508.26503663495532
1547,116350.71734771438059
1548,131808.28467133676168
1549,113086.03257585671963
1550,125479.71084092577803
1551,96865.928467813573661
1552,138682.43204012923525
1553,134499.2872608184116
1554,127392.72320514278545
1555,161246.24694141288637
1556,75713.55220840225229
1557,109545.7718940434861
1558,100785.84386267091031
1559,69128.982921463539242
1560,123810.36985545512289
1561,129738.72786590391479
1562,130206.92140393033333
1563,118621.83640137026669
1564,162597.49134100874653
1565,146632.24574470802327
1566,233477.69345606499701
1567,76009.055938463134225
1568,226101.87248828166048
1569,141112.78038445318816
1570,132816.07074458984425
1571,128573.08939793887839
1572,143357.56137954688165
1573,246050.44753710925579
1574,111701.60359367910132
1575,226555.90495597830159
1576,252354.10878366787801
1577,184125.84910958376713
1578,160041.64830783437355
1579,146561.45184281500406
1580,192297.18090600697906
1581,154682.88766177010257
1582,126160.64983453397872
1583,292224.72578129073372
1584,213646.67995068849996
1585,139156.61799351673108
1586,70271.711563027420198
1587,100841.44978354402701
1588,145741.17743067827541
1589,94849.119808147588628
1590,134109.29132519711857
1591,93915.9374376625492
1592,112324.18640584748937
1593,117605.01076693409414
1594,137599.02796821962693
1595,104210.03423868975369
1596,220440.43832391867181
1597,186741.84579151862999
1598,226744.41151685692603
1599,176008.74458902596962
1600,160053.09291613075766
1601,65460.067140418505005
1602,113089.22220980812563
1603,79246.917853850798565
1604,265062.91261445195414
1605,248259.17995873381733
1606,174731.89583608915564
1607,166740.65061075304402
1608,210693.40318275321624
1609,182934.98948737149476
1610,156736.58163739051088
1611,142908.41919030502322
1612,182745.02176370917005
1613,168382.38047173549421
1614,119947.53084251124528
1615,90741.601903063899954
1616,83463.640678804731579
1617,98473.925291785009904
1618,134095.61344819891383
1619,142438.61277761144447
1620,128687.89495825959602
1621,147912.62710144906305
1622,143750.96699517831439
1623,259241.13378710552934
1624,213253.23752574334503
1625,114701.22365211890428
1626,166665.58100085094338
1627,193009.6784359596204
1628,292347.73772503132932
